Date,Open,High,Low,Close,Volume,Adj Close
2015-10-01,10.79,10.84,10.75,10.76,000,10.76
2015-09-01,10.75,10.79,10.69,10.78,000,10.78
2015-08-03,10.80,10.82,10.72,10.72,000,10.698143
2015-07-01,10.68,10.79,10.67,10.78,000,10.735983
2015-06-01,10.82,10.82,10.66,10.72,000,10.65438
2015-05-01,10.88,10.88,10.78,10.85,000,10.761474
2015-04-01,11.02,11.02,10.92,10.92,000,10.808941
2015-03-02,10.91,11.01,10.84,10.98,000,10.84743
2015-02-02,11.09,11.09,10.88,10.96,000,10.80201
2015-01-02,10.90,11.10,10.90,11.10,000,10.918972
2014-12-01,10.90,10.93,10.82,10.87,000,10.670466
2014-11-03,10.85,10.91,10.83,10.91,000,10.659573
2014-10-01,10.84,10.95,10.82,10.86,000,10.589284
2014-09-02,10.84,10.85,10.74,10.78,000,10.489038
2014-08-01,10.81,10.88,10.81,10.88,000,10.563773
2014-07-01,10.81,10.83,10.76,10.78,000,10.444552
2014-06-02,10.82,10.83,10.76,10.83,000,10.469657
2014-05-01,10.78,10.86,10.76,10.84,000,10.457049
2014-04-01,10.68,10.76,10.66,10.75,000,10.34729
2014-03-03,10.76,10.76,10.65,10.69,000,10.266522
2014-02-03,10.74,10.74,10.67,10.73,000,10.280838
2014-01-02,10.57,10.70,10.57,10.70,000,10.231093
2013-12-02,10.63,10.64,10.56,10.56,000,10.07456
2013-11-01,10.69,10.69,10.62,10.66,000,10.13925
2013-10-01,10.65,10.73,10.63,10.72,000,10.173363
2013-09-03,10.54,10.67,10.47,10.66,000,10.093773
2013-08-01,10.62,10.67,10.51,10.58,000,9.996408
2013-07-01,10.68,10.71,10.56,10.67,000,10.059548
2013-06-03,10.87,10.87,10.59,10.67,000,10.038787
2013-05-01,11.11,11.11,10.87,10.87,000,10.206808
2013-04-01,11.01,11.09,11.00,11.08,000,10.382958
2013-03-01,11.04,11.04,10.95,11.00,000,10.287542
2013-02-01,10.98,11.04,10.97,11.03,000,10.278156
2013-01-02,11.06,11.07,10.99,10.99,000,10.221368
2012-12-03,11.19,11.20,11.08,11.09,000,10.293726
2012-11-01,11.18,11.22,11.16,11.19,000,10.312845
2012-10-01,11.21,11.21,11.14,11.19,000,10.291648
2012-09-04,11.21,11.21,11.11,11.20,000,10.278713
2012-08-01,11.21,11.22,11.08,11.21,000,10.266764
2012-07-02,11.13,11.25,11.12,11.23,000,10.262082
2012-06-01,11.16,11.16,11.07,11.10,000,10.120667
2012-05-01,11.03,11.12,11.03,11.12,000,10.116107
2012-04-02,10.95,11.04,10.91,11.04,000,10.019804
2012-03-01,11.02,11.05,10.89,10.94,000,9.90564
2012-02-01,11.06,11.07,10.99,11.04,000,9.962501
2012-01-03,10.98,11.07,10.96,11.07,000,9.966067
2011-12-01,10.95,11.08,10.93,11.00,000,9.878851
2011-11-01,11.08,11.08,10.96,10.96,000,9.772331
2011-10-03,11.07,11.07,10.90,11.02,000,9.800774
2011-09-01,11.00,11.13,10.99,11.03,000,9.783663
2011-08-01,10.86,11.06,10.86,10.96,000,9.695919
2011-07-01,10.68,10.83,10.68,10.83,000,9.554712
2011-06-01,10.80,10.80,10.69,10.69,000,9.404927
2011-05-02,10.65,10.76,10.65,10.76,000,9.43997
