Date,Open,High,Low,Close,Volume,Adj Close
02-Oct-2015,1,38288.97,35537.94,36717.92,1105.35,1142.05
02-Sep-2015,1,37177.64,35350.39,35810.9,1099.52,1113.84
03-Aug-2015,1,37601.18,34761.23,36618.82,1081.2,1138.97
04-Jul-2015,1,37777.37,34648.3,35153.47,1077.68,1093.4
04-Jun-2015,1,38762.47,37219.47,37571.68,1157.65,1168.61
05-May-2015,1,39619.2,37907.58,38122.59,1179.06,1185.75
05-Apr-2015,1,39361.68,37633.9,38212.53,1170.55,1188.54
06-Mar-2015,1,39205.34,36753.53,38665.13,1143.16,1202.62
04-Feb-2015,1,40961.74,38285.75,38590.14,1190.82,1200.29
05-Jan-2015,1,42008.89,38050.41,40562.99,1183.5,1261.65
06-Dec-2014,1,39809.05,37589.05,38050.41,1169.15,1183.5
06-Nov-2014,1,39259.28,36751.52,38333.34,1143.1,1192.3
07-Oct-2014,1,40351.12,36592.05,36767.43,1138.14,1143.59
07-Sep-2014,1,40889.48,38045.26,38795.66,1183.34,1206.68
08-Aug-2014,1,42521.02,40426.35,40796.78,1257.4,1268.92
09-Jul-2014,1,43241.95,41175.04,42158.95,1280.69,1311.29
09-Jun-2014,1,42835.56,40201.45,42380.99,1250.4,1318.2
10-May-2014,1,42083.37,39904.98,40323.59,1241.18,1254.2
10-Apr-2014,1,42792.73,40797.57,41436.2,1268.95,1288.81
11-Mar-2014,1,44762.18,41087.25,42156.23,1277.96,1311.21
09-Feb-2014,1,43558.1,40680.15,43099.54,1265.29,1340.55
10-Jan-2014,1,41102.82,39471.17,40743.03,1227.69,1267.25
11-Dec-2013,1,40607.76,38074.12,39514.78,1184.24,1229.05
11-Nov-2013,1,41611.91,38966.3,40553.42,1211.99,1261.35
12-Oct-2013,1,43785.62,40257.56,41395.37,1252.15,1287.54
12-Sep-2013,1,44212.42,40609.45,40941.47,1263.1,1273.42
13-Aug-2013,1,46096.29,42327.42,43893.32,1316.53,1365.23
14-Jul-2013,1,43356.09,40856.53,42868.36,1270.78,1333.36
14-Jun-2013,1,44764.77,37975.02,41363.11,1181.16,1286.54
15-May-2013,1,45988.29,43051.54,44562.74,1339.05,1386.06
15-Apr-2013,1,48087.77,42513.05,45988.29,1322.3,1430.4
16-Mar-2013,1,51980.75,47543.9,47914.03,1478.78,1490.29
14-Feb-2013,1,53038.02,50045.66,51191.48,1556.59,1592.23
15-Jan-2013,1,54530.89,52775.9,52834.7,1641.51,1643.34
16-Dec-2012,1,54768.49,52367.15,53646.23,1628.8,1668.58
16-Nov-2012,1,56397.52,54191.88,54528.65,1685.56,1696.03
17-Oct-2012,1,56379.1,53789.52,55167.91,1673.04,1715.91
17-Sep-2012,1,57746.1,55611.93,56255.9,1729.72,1749.75
18-Aug-2012,1,57158.64,51794.79,57059.16,1611,1774.74
19-Jul-2012,1,52386.54,50280.65,51952.63,1563.9,1615.91
19-Jun-2012,1,52505.81,49793.16,50608.09,1548.74,1574.09
20-May-2012,1,52746.34,49308.69,52350.38,1533.67,1628.28
20-Apr-2012,1,53745.35,49118.53,51205.63,1527.76,1592.67
21-Mar-2012,1,54526.34,51862.43,52789.66,1613.1,1641.94
20-Feb-2012,1,57565.09,52567.34,53052.48,1635.03,1650.12
